,년월,성별,연령대,세종특별자치시,조치원읍,연기면,연동면,부강면,금남면,장군면,연서면,전의면,전동면,소정면,한솔동,새롬동,도담동,아름동,종촌동,고운동,소담동,보람동,대평동,다정동
204,201710,남자,(60~69세),10066,2233,207,330,413,849,472,654,443,405,194,393,455,710,435,664,647,0,562,0,0
205,201710,남자,(70~79세),5000,1252,114,164,302,454,256,381,292,230,118,181,118,331,143,303,209,0,152,0,0
206,201710,남자,(80~89세),1816,413,45,87,120,193,118,188,146,94,44,49,35,100,45,67,47,0,25,0,0
207,201710,남자,(90~99세),156,41,5,6,11,16,6,9,11,6,7,5,4,15,5,5,2,0,2,0,0
208,201710,남자,(100세_이상),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,201710,여자,(0~9세),19301,2215,52,99,201,208,141,227,169,48,88,1693,1787,2531,2208,2812,2550,0,2272,0,0
210,201710,여자,(10~19세),15493,2321,72,75,225,255,174,235,233,85,123,1696,1174,2039,1909,1989,1596,0,1292,0,0
211,201710,여자,(20~29세),14463,2911,147,150,310,446,399,378,323,139,149,779,1442,2022,926,1469,1173,0,1300,0,0
212,201710,여자,(30~39세),26447,3167,125,146,296,447,293,379,259,118,117,1857,2696,3787,2684,3787,3369,0,2920,0,0
213,201710,여자,(40~49세),23881,3488,123,163,383,478,318,408,381,176,187,2318,1953,3206,2860,2903,2447,0,2089,0,0
214,201710,여자,(50~59세),15797,3202,224,269,519,781,544,648,500,352,217,954,1145,1588,953,1391,1193,0,1317,0,0
215,201710,여자,(60~69세),10378,2327,185,283,455,762,433,579,439,340,176,455,477,860,479,809,758,0,561,0,0
